Year,Duration,Title,Genre,Director,Sales,Type
1992,125,Final Analysis,Drama,"Joanou, Phil",487853320,Film
1983,134,Never Say Never Again,Action,"Kershner, Irvin",1034800131,Film
1986,117,Nine & a Half Weeks,Drama,"Lyne, Adrian",879602366,Film
1989,,Killjoy,Mystery,"Moxey, John Llewellyn",757930663,Film
1986,108,No Mercy,Drama,"Pearce, Richard",631607053,Film
1991,116,"Marrying Man, The",Comedy,"Rees, Jerry",471411300,Film
1990,123,Misery,Horror,"Reiner, Rob",345573032,Film
1946,93,Crisis,Drama,"Bergman, Ingmar",714421503,Film
1984,95,Samson & Delilah,Drama,"Philips, Lee",959007513,Film
1990,101,Act of Piracy,Mystery,,468060692,Film
1988,96,Split Decisions,Drama,"Drury, David",385680446,Film
1989,103,Vampire's Kiss,Comedy,,585410052,Film
1988,96,Nightmare at Noon,Action,"Mastorakis, Nico",309208309,Film
1990,127,Presumed Innocent,Mystery,"Pakula, Alan J.",962182865,Film
1942,123,Reap the Wild Wind,Drama,"DeMille, Cecil B.",586764305,Film
1972,100,Pocket Money,Comedy,"Rosenberg, Stuart",543113985,Film
1977,102,Mary White,Drama,"Taylor, Jud",411508343,Film
1982,,"Catch a Rising Star, Tenth Anniversary",Comedy,,574481229,Film
1990,105,Guilty by Suspicion,Drama,"Winkler, Irwin",589390539,Film
1948,99,Secret Beyond the Door,Mystery,"Lang, Fritz",797361618,Film
1945,103,Scarlet Street,Drama,"Lang, Fritz",644136488,Film
1988,76,Daffy Duck's Quackbusters,Action,"Ford, Greg",389925971,Film
1985,55,Rowlf's Rhapsodies with the Muppets,Comedy,,497375381,Film
1982,188,Gandhi,Drama,"Attenborough, Richard",1104054072,Film
1975,120,"Wind & the Lion, The",Action,"Milius, John",461991867,Film
1971,96,Carnal Knowledge,Drama,"Nichols, Mike",296578797,Film
1970,126,Getting Straight,Comedy,"Rush, Richard",484592874,Film
1972,90,"Scarlet Letter, The",Drama,"Wenders, Wim",494471524,Film
1935,75,"Count of Old Town, The",Comedy,"Adolphson, Edvin",368744044,Film
1978,97,Autumn Sonata,Drama,"Bergman, Ingmar",758411779,Film
1944,114,Gaslight,Drama,"Cukor, George",1045713802,Film
1958,100,Indiscreet,Drama,"Donen, Stanley",752600867,Film
1941,75,Walpurgis Night,Drama,"Edgren, Gustaf",788680968,Film
1948,100,Joan of Arc,Drama,"Fleming, Victor",538983207,Film
1982,195,A Woman Called Golda,Drama,"Gibson, Alan",493311825,Film
1969,98,A Walk in the Spring Rain,Drama,"Green, Guy",460435291,Film
1949,117,Under Capricorn,Drama,"Hitchcock, Alfred",603873119,Film
1946,101,Notorious,Mystery,"Hitchcock, Alfred",814044001,Film
1940,90,June Night,Drama,"Lindberg, Per",746045700,Film
1961,120,Goodbye Again,Drama,"Litvak, Anatole",429632142,Film
1956,106,Anastasia,Drama,"Litvak, Anatole",441306145,Film
1945,126,"Bells of St. Mary's, The",Drama,"McCarey, Leo",677796076,Film
1937,91,Intermezzo,Drama,"Molander, Gustaf",618638999,Film
1938,104,A Woman's Face,Drama,"Molander, Gustaf",657926987,Film
1935,90,Swedenhielms,Drama,"Molander, Gustaf",467365246,Film
1939,87,Only One Night,Drama,"Molander, Gustav",630162448,Film
1938,74,Dollar,Drama,"Molander, Gustav",408247917,Film
1956,98,Elena & Her Men,Drama,"Renoir, Jean",629443428,Film
1952,110,Europa Fifty-One,Drama,"Rossellini, Roberto",444100035,Film
1953,83,Voyage in Italy,Drama,"Rossellini, Roberto",619179950,Film
1954,81,Fear,Drama,"Rossellini, Roberto",347325802,Film
1950,107,Stromboli,Drama,"Rossellini, Roberto",1236005118,Film
1969,103,Cactus Flower,Comedy,"Saks, Gene",432233010,Film
1989,105,Hideaways,Comedy,,521311890,Film
1990,90,Twenty Four Hours in a Woman's Life,Drama,,657869686,Film
1987,91,Programmed to Kill,Action,"Holzman, Allan",791657398,Film
1982,128,Conan the Barbarian,Action,"Milius, John",459242249,Film
1991,91,Raw Nerve,Mystery,"Prior, David A.",443140005,Film
1970,94,Think Dirty,Comedy,"Clark, Jim",441286195,Film
1982,108,King of Comedy,Drama,"Scorsese, Martin",424967620,Film
1983,60,"Best of the Big Laff Off, The",Comedy,,549368315,Film
1984,158,Amadeus,Drama,"Forman, Milos",556906378,Film
1973,101,White Lightning,Action,"Sargent, Joseph",505703557,Film
1988,172,"Unbearable Lightness of Being, The",Drama,"Kaufman, Philip",494879471,Film
1972,124,"Life & Times of Judge Roy Bean, The",Western,"Huston, John",760006945,Film
1970,137,Airport,Drama,"Seaton, George",504050219,Film
1973,116,Day for Night,Drama,"Truffaut, Fran�ois",365352546,Film
1952,107,Secrets of Women,Comedy,"Bergman, Ingmar",482349603,Film
1976,116,Burnt Offerings,Horror,"Curtis, Dan",910809311,Film
1969,94,Easy Rider,Drama,"Hopper, Dennis",622674139,Film
1991,98,Five Easy Pieces,Drama,"Rafelson, Bob",746921274,Film
1974,144,"Day of the Locust, The",Drama,"Schlesinger, John",631746197,Film
1964,112,Goldfinger,Action,"Hamilton, Guy",546388108,Film
1977,117,"Exorcist II, The Heretic",Horror,"Boorman, John",436188866,Film
1953,61,White Lightning,,"Bernds, Edward",407711549,Film
1942,88,Lady for a Night,Drama,"Leigh, Jason",348840316,Film
1968,103,Charly,Drama,"Nelson, Ralph",392924807,Film
1973,105,High Plains Drifter,Western,"Eastwood, Clint",856085151,Film
1982,123,Honkytonk Man,Drama,"Eastwood, Clint",296938801,Film
1990,102,Nightbreed,Horror,"Barker, Clive",501138437,Film
1987,98,Under the Sun of Satan,Drama,"Pialat, Maurice",473093228,Film
1985,105,Vagabond,Drama,"Varda, Agnes",381906762,Film
1993,60,"Bill Cosby, Live at Harrah's",Comedy,,456068181,Film
1974,89,Monty Python & the Holy Grail,Comedy,"Gilliam, Terry",807817888,Film
1993,65,John Cleese on How to Irritate People,Comedy,,626137675,Film
1958,101,"Matchmaker, The",Comedy,"Anthony, Joseph",694713380,Film
1981,129,For Your Eyes Only,Action,"Glen, John",288467645,Film
1928,139,Wings,War,"Wellman, William",524028679,Film
1992,106,Medicine Man,Action,"McTiernan, John",710644566,Film
1989,,Good Fellas,Drama,"Scorsese, Martin",373661946,Film
1985,119,Kiss of the Spider Woman,Drama,"Babenco, Hector",474968763,Film
1990,121,"Rookie, THe",Action,"Eastwood, Clint",623726085,Film
1973,129,"Sting, The",Drama,"Hill, George Roy",644783140,Film
1958,96,Torpedo Run,War,"Pevney, Joseph",426505244,Film
1986,101,Instant Justice,Drama,"Rumar, Craig",312016928,Film
1990,135,Cyrano de Bergerac,Drama,"Rappeneau, Jean-Paul",520881154,Film
1948,110,Border Street,Drama,"Ford, Aleksander",708982323,Film
1987,91,Firehouse,Comedy,"Ingvordsen, J. Christian",540455876,Film
1965,123,Morituri,Drama,"Wicki, Bernhard",443280904,Film
1980,104,From the Life of the Marionettes,Drama,"Bergman, Ingmar",553709788,Film
1988,120,Frantic,Mystery,"Polanski, Roman",542358331,Film
1978,114,Coma,Science Fiction,"Crichton, Michael",529323962,Film
1988,117,Dead Ringers,Drama,"Cronenberg, David",592462816,Film
1988,90,Golden Ninja Invasion,Action,"Lambert, Bruce",524976069,Film
1973,122,"Exorcist, The",Horror,"Friedkin, William",391081192,Film
1975,112,Alice Doesn't Live Here Anymore,Comedy,,880681519,Film
1982,94,"Eyes of the Amaryllis, The",Drama,"King Keller, Frederick",449220945,Film
1952,109,What Price Glory?,War,"Ford, John",381509870,Film
1954,40,Inauguration of the Pleasure Dome,Short,"Anger, Kenneth",384336108,Film
1989,114,School Daze,Comedy,"Lee, Spike",474171806,Film
1990,102,"End of Innocence, The",Drama,"Cannon, Dyan",886686817,Film
1971,98,"Anderson Tapes, The",Mystery,"Lumet, Sidney",667094506,Film
1983,50,"Father Murphy, A Horse from Heaven",Comedy,"Claxton, William F.",682716636,Film
1989,80,Skull,Drama,"Bergman, Robert",408430415,Film
1987,91,"Quick & The Dead, The",Western,"Day, Robert",445135288,Film
1984,94,Best Defense,Comedy,"Huyck, Willard",542063846,Film
1984,99,Dreamscape,Science Fiction,"Ruben, Joseph",331333876,Film
1989,125,Black Rain,Action,"Scott, Ridley",559852396,Film
1963,138,8 1/2,Drama,"Fellini, Federico",485004754,Film
1935,64,One Frightened Night,Horror,"Cabanne, Christy",375540831,Film
1988,103,"Year My Voice Broke, The",Drama,"Duigan, John",396271103,Film
1966,175,Is Paris Burning?,War,"Cl�ment, Ren�",527016307,Film
1974,313,QB VII,Drama,"Gries, Tom",471222889,Film
1977,104,"Island of Dr. Moreau, The",Horror,"Taylor, Don",340952971,Film
1983,104,Beyond the Limit,Drama,"Mackenzie, John",701729206,Film
1936,84,Secret Agent,Mystery,"Hitchcock, Alfred",314215454,Film
1986,71,Paramount Comedy Theater: Well-Developed,Comedy,,465380802,Film
1972,71,"Big Bust Out, The",Action,"Theumer, Ernst R. von",587235983,Film
1987,119,"Fourth Protocol, The",Mystery,"Mackenzie, John",543848418,Film
1990,107,Gremlins 2: The New Batch,Comedy,"Dante, Joe",552639571,Film
1982,92,Fast Times at Ridgemont High,Comedy,"Heckerling, Amy",487287646,Film
1987,,Mannequin,Comedy,"Gottlieb, Michael",184925486,Film
1977,91,Rabid,Horror,"Cronenberg, David",287144079,Film
1990,,"Party, The",Comedy,"Edwards, Blake",424208848,Film
1989,90,"Vampire Raiders, Ninja Queen",Action,"Lambert, Bruce",336567158,Film
1970,26,Bloopers from Star Trek,Comedy,,368875760,Film
1943,99,Destroyer,Action,"Seiter, William A.",379631351,Film
1992,99,Party Girl,Comedy,"Ray, Nicholas",532950503,Film
1989,113,Twin Peaks,Mystery,"Lynch, David",450717150,Film
1987,103,Moonstruck,Comedy,"Jewison, Norman",536414293,Film
1987,119,"Witches of Eastwick, The",Comedy,"Miller, George",374111707,Film
1979,128,Moonraker,Action,"Gilbert, Lewis",328718434,Film
1984,106,Beat Street,Drama,"Lathan, Stan",275293450,Film
1986,88,Running Out of Luck,Comedy,,302710615,Film
1989,90,Never on Tuesday,Drama,"Rifkin, Adam",368780809,Film
1975,109,Shampoo,Comedy,"Ashby, Hal",449326618,Film
1985,111,Power,Drama,"Lumet, Sidney",457696391,Film
1965,122,Darling,Drama,"Schlesinger, John",519311965,Film
1963,120,"Ugly American, The",Drama,"Englund, George",362211740,Film
1931,68,Ambassador Bill,Comedy,"Taylor, Sam",603900354,Film
1931,110,"Big Trail, The",Western,"Walsh, Raoul",373062864,Film
1967,111,Hombre,Western,"Ritt, Martin",333107271,Film
1968,103,Coogan's Bluff,Action,"Siegel, Don",371594210,Film
1989,91,Penn & Teller Get Killed,Comedy,"Penn, Arthur",624026776,Film
1987,118,Shy People,Drama,"Konchalovsky, Andrei",463406268,Film
1980,91,It's My Turn,Comedy,"Weill, Claudia",386041607,Film
1988,119,Dangerous Liaisons,Drama,"Frears, Stephen",413106170,Film
1990,111,Reversal of Fortune,Drama,"Schroeder, Barbet",177200000,Film
1991,119,Meeting Venus,Comedy,"Szab�, Istv�n",621537519,Film
1946,105,Tomorrow Is Forever,Drama,,481800873,Film
1987,101,Like Father Like Son,Comedy,"Daniel, Rod",370569774,Film
1948,81,Rope,Drama,"Hitchcock, Alfred",223853736,Film
1962,91,Road to Hong Kong,Comedy,"Panama, Norman",359126022,Film
1989,108,Shirley Valentine,Comedy,"Gilbert, Lewis",369884651,Film
1992,135,City of Joy,Drama,"Joffe, Roland",383257136,Film
1966,99,"Appaloosa, The",Western,"Furie, Sidney J.",290835269,Film
1986,88,Seven Minutes in Heaven,Comedy,"Feferman, Linda",311950384,Film
1991,96,"Hearts of Darkness, A Filmmaker's Apocalypse",Drama,"Bahr, Fax",255185482,Film
1961,66,Tonight for Sure,Comedy,"Coppola, Francis Ford",527965936,Film
1990,110,"White Hunter, Black Heart",Adventure,"Eastwood, Clint",238539198,Film
1962,110,Sundays & Cybele,Drama,"Bourguignon, Serge",436949634,Film
1989,90,Puppet Master,Science Fiction,"Schmoeller, David",759056935,Film
1991,95,Night Gallery,Horror,"Spielberg, Steven",355237933,Film
1989,103,Pet Sematary,Horror,"Lambert, Mary",358994850,Film
1992,60,"America's Music, Gospel",Music,"Walton, Kip",347512318,Film
1977,123,Slap Shot,Comedy,"Hill, George Roy",726229501,Film
1987,109,O. C. & Stiggs,Comedy,"Altman, Robert",315156409,Film
1988,108,A Fish Called Wanda,Comedy,"Crichton, Charles",354825435,Film
1954,96,A Lesson in Love,Comedy,"Bergman, Ingmar",794881442,Film
1957,82,Brink of Life,Drama,"Bergman, Ingmar",400063852,Film
1986,120,Betty Blue,Drama,"Beineix, Jean-Jacques",349546142,Film
1979,122,Hair,Music,"Forman, Milos",466625730,Film
1989,97,National Lampoon's Christmas Vacation,Comedy,"S, Jeremiah",252276927,Film
1974,124,"Dersu Uzala, (The Hunter)",Adventure,"Kurosawa, Akira",448191819,Film
1990,106,Alice,Comedy,"Allen, Woody",327281779,Film
1980,90,"Fifth Floor, The",Mystery,"Avedis, Howard Hikmet",316791257,Film
1990,94,Snow Kill,Drama,"Wright, Thomas J.",306776732,Film
1971,74,"People, The",Drama,"Coppola, Francis Ford",216639112,Film
1969,128,True Grit,Western,"Hathaway, Henry",475186706,Film
1942,18,"Battle of Midway, The",War,"Ford, John",235956898,Film
1948,103,Three Godfathers,Western,"Ford, John",288383523,Film
1965,133,"Hush, Hush, Sweet Charlotte",Mystery,"Aldrich, Robert",589580482,Film
1946,110,A Stolen Life,Drama,"Bernhardt, Curtis",253625427,Film
1939,96,"Old Maid, The",Drama,"Goulding, Edmund",566652812,Film
1950,138,All about Eve,Drama,"Mankiewicz, Joseph L.",167780960,Film
1986,96,"Fly, The",Horror,"Cronenberg, David",369330363,Film
1990,89,Quick Change,Comedy,"Franklin, Howard",528583774,Film
1988,93,"Lair of the White Worm, The",Horror,"Russell, Ken",616502912,Film
1989,104,"Rainbow, The",Drama,"Russell, Ken",330444045,Film
1956,120,"Man Who Knew Too Much, The",Mystery,"Hitchcock, Alfred",569651467,Film
1992,90,Beauty & the Beast,Science Fiction,"Cocteau, Jean",791217826,Film
1940,120,Foreign Correspondent,Mystery,"Hitchcock, Alfred",390493908,Film
1949,115,"Heiress, The",Drama,"Wyler, William",311605581,Film
1986,120,"Boy Who Could Fly, The",Drama,"Castle, Nick",665692281,Film
1975,89,"Terrorists, The",Action,"Wrede, Caspar",351692268,Film
1942,85,Wheel of Fortune,Drama,"Auer, John H.",401847482,Film
1989,120,Do the Right Thing,Drama,"Lee, Spike",352114312,Film
1990,93,"Court-Martial of Jackie Robinson, The",Drama,"Peerce, Larry",317375031,Film
1967,90,Elvira Madigan,Drama,"Widerberg, Bo",307127625,Film
1992,86,Hurricane Smith,Action,"Budds, Colin",234801895,Film
1987,86,Fair Game,Action,,493214993,Film
1989,95,"Rape of the Sabines, The",Action,,325186032,Film
1983,99,Risky Business,Comedy,"Brickman, Paul",266892996,Film
1980,103,I Love All of You (Je Vous Aime),Drama,"Berri, Claude",426074373,Film
1986,108,Love Songs,Drama,"Chouraqui, Elie",363258859,Film
1983,114,Le Choix des Armes,Mystery,"Comeau, Alain",415484914,Film
1981,135,Choice of Arms,Action,"Corneau, Alan",271457301,Film
1977,107,March or Die,War,"Richards, Dick",185991646,Film
1980,135,"Last Metro, The",Drama,"Truffaut, Fran�ois",877244782,Film
1986,120,Jean de Florette,Drama,"Berri, Claude",201634991,Film
1989,127,Fat Man & Little Boy,Drama,"Joffe, Roland",431971116,Film
1990,125,Wild at Heart,Drama,"Lynch, David",374583879,Film
1989,113,Family Business,Action,"Lumet, Sidney",524389083,Film
1988,103,Stand & Deliver,Drama,"Menendez, Ramon",774034007,Film
1981,94,Looker,Science Fiction,"Crichton, Michael",297372261,Film
1989,89,Fire & Rain,Action,"Jameson, Jerry",229930771,Film
1990,56,"Best of Candid Camera, The",Comedy,,654855901,Film
1940,83,Seven Sinners,Drama,"Garnett, Tay",255614941,Film
1961,190,Judgment at Nuremberg,Drama,"Kramer, Stanley",384919389,Film
1989,60,Minsky's Follies,Comedy,,430051293,Film
1990,97,"Novice, The",Comedy,,343471816,Film
1987,130,Wings of Desire,Drama,"Wenders, Wim",270248367,Film
1991,158,Until the End of the World,Drama,"Wenders, Wim",191466556,Film
1987,118,Castaway,Drama,"Roeg, Nicolas",296339528,Film
1993,30,"Alfred Hitchcock Presents, Sorcerer's Apprentice",Mystery,,278019771,Film
1991,99,Delicatessen,Comedy,"Caro, Marc",329803958,Film
1979,110,"Great Train Robbery, The",Mystery,"Crichton, Michael",291420351,Film
1991,110,Hanover Street,Drama,"Hyams, Peter",543934105,Film
1991,102,Hunchback,Drama,"Tuchner, Michael",415933406,Film
1946,97,My Darling Clementine,Western,"Ford, John",396592829,Film
1950,86,Wagon Master,Western,"Ford, John",474009154,Film
1949,93,She Wore a Yellow Ribbon,Western,"Ford, John",360366870,Film
1985,90,Fantasy Man,Comedy,"Meagher, John",339795890,Film
1986,87,Monster in the Closet,Comedy,"Dahlin, Bob",333535934,Film
1992,85,Double Edge,Drama,"Kollek, Amos",298572799,Film
1976,116,Network,Comedy,"Lumet, Sidney",375658750,Film
1974,131,Chinatown,Drama,"Polanski, Roman",273552592,Film
1975,117,Three Days of the Condor,Drama,"Pollack, Sydney",346864886,Film
1977,134,Voyage of the Damned,Drama,"Rosenberg, Stuart",275650703,Film
1987,97,Barfly,Drama,"Schroeder, Barbet",383930656,Film
1990,104,"Wait Until Spring, Bandini",Drama,,418765519,Film
1947,118,Life with Father,Comedy,"Curtiz, Michael",309460292,Film
1943,,A Guy Named Joe,Drama,"Fleming, Victor",448906865,Film
1974,117,Stavisky,Drama,"Resnais, Alain",288885818,Film
1981,117,Time Bandits,Comedy,"Gilliam, Terry",269994119,Film
1980,144,"Shining, The",Horror,"Kubrick, Stanley",433371112,Film
1945,91,Flame of Barbary Coast,Western,"Kane, Joseph",242786137,Film
1993,92,"Naked Truth, The",Comedy,,302469017,Film
1979,92,"Brood, The",Horror,"Cronenberg, David",270665134,Film
1970,123,"Molly Maguires, The",Action,"Ritt, Martin",251171807,Film
1984,105,Beverly Hills Cop,Comedy,"Brest, Martin",554987477,Film
1991,86,Blind Man's Bluff,Mystery,"Quinn, James",319715683,Film
1961,140,La Dolce Vita,Drama,"Fellini, Federico",442299309,Film
1966,103,After the Fox,Comedy,"De Sica, Vittorio",219922417,Film
1974,127,"Man with the Golden Gun, The",Action,"Hamilton, Guy",314178011,Film
1985,96,Marbella,Action,"Hermoso, Miguel",310650585,Film
1967,103,"Bobo, The",Comedy,"Parrish, Robert",321885765,Film
1993,53,"Big Bands, The",Music,,358375603,Film
1992,97,Killer Image.,Mystery,"Winning, David",163362095,Film
1987,94,Kandyland,Drama,"Schnitzer, Robert Allen",269958228,Film
1987,94,Campus Man,Drama,"Casden, Ron",227853986,Film
1956,101,Jubal,Drama,"Daves, Delmer",490719763,Film
1985,84,"Purple Rose of Cairo, The",Comedy,"Allen, Woody",352616690,Film
1984,85,Broadway Danny Rose,Comedy,"Allen, Woody",183348429,Film
1992,108,Husbands & Wives,Comedy,"Allen, Woody",378882411,Film
1986,103,Hannah & Her Sisters,Comedy,"Allen, Woody",273144151,Film
1979,115,Hurricane,Action,"Troell, Jan",190539357,Film
1986,95,Between Two Women,Drama,"Avnet, John",530438278,Film
1981,96,"Cannonball Run, The",Comedy,"Needham, Hal",287553595,Film
1936,70,Doughnuts & Society,Comedy,"Collins, Lewis D.",226837760,Film
1978,450,Holocaust,Drama,"Chomsky, Marvin J.",353642274,Film
1990,103,Meridian,Science Fiction,"Band, Charles",353133898,Film
1992,90,Diary of a Hitman,Drama,"London, Roy",321731527,Film
